,Name Of The Movie,Year Of Release,IMDB Rating,Metascore,Number Of Votes,IMDB Rating Scaled to 100
1492,"4 luni, 3 saptamâni si 2 zile",2007,7.9,97,55476,79.0
1493,The Nanny Diaries,2007,6.2,46,55342,62.0
1494,The Great Debaters,2007,7.5,65,55202,75.0
1495,Rendition,2007,6.8,55,53664,68.0
1496,My Blueberry Nights,2007,6.6,52,51217,66.0
1497,The Condemned,2007,6.0,23,49829,60.0
1498,Cassandra's Dream,2007,6.7,49,49539,67.0
1499,Lions for Lambs,2007,6.2,47,46815,62.0
1500,Sydney White,2007,6.2,45,45459,62.0
1501,Diary of the Dead,2007,5.6,66,45424,56.0
1502,Perfect Stranger,2007,5.7,31,44342,57.0
1503,Mongol,2007,7.2,74,44043,72.0
1504,In the Name of the King: A Dungeon Siege Tale,2007,3.8,15,43908,38.0
1505,Waitress,2007,7.0,75,43170,70.0
1506,Die Fälscher,2007,7.6,78,42732,76.0
1507,Pathfinder,2007,5.4,29,42071,54.0
1508,Mr. Magorium's Wonder Emporium,2007,6.2,48,42032,62.0
1509,The Reaping,2007,5.6,36,41598,56.0
1510,The Visitor,2007,7.6,79,41191,76.0
1511,Teeth,2007,5.4,57,40882,54.0
1512,Balls of Fury,2007,5.3,38,40255,53.0
1513,The Hitcher,2007,5.6,28,40103,56.0
1514,Fred Claus,2007,5.6,42,38930,56.0
1515,The Messengers,2007,5.4,34,37753,54.0
1516,License to Wed,2007,5.3,25,37543,53.0
1517,The Water Horse,2007,6.4,71,37238,64.0
1518,Cleaner,2007,6.1,49,36906,61.0
1519,Because I Said So,2007,5.7,26,36891,57.0
1520,"Se, jie",2007,7.5,61,36616,75.0
1521,Boy A,2007,7.6,75,36383,76.0
1522,The Savages,2007,7.1,85,35520,71.0
1523,Mr. Woodcock,2007,5.1,41,34731,51.0
1524,The Invisible,2007,6.2,36,34448,62.0
1525,The King of Kong,2007,8.1,83,34395,81.0
1526,The Last Legion,2007,5.4,37,33803,54.0
1527,The Air I Breathe,2007,6.8,37,33271,68.0
1528,The Nines,2007,6.3,52,32459,63.0
1529,P2,2007,5.9,37,31188,59.0
1530,In the Land of Women,2007,6.4,47,30707,64.0
1531,Son of Rambow,2007,7.0,66,30514,70.0
1532,Auf der anderen Seite,2007,7.8,85,30317,78.0
1533,Sleuth,2007,6.5,49,30126,65.0
1534,2 Days in Paris,2007,6.8,67,29813,68.0
1535,Paranoid Park,2007,6.7,83,28787,67.0
1536,Things We Lost in the Fire,2007,7.2,63,27414,72.0
1537,A Mighty Heart,2007,6.6,74,26632,66.0
1538,Reno 911!: Miami,2007,5.9,47,26068,59.0
1539,The Jane Austen Book Club,2007,6.8,61,25803,68.0
1540,I Know Who Killed Me,2007,3.6,16,25729,36.0
1541,Tau ming chong,2007,7.0,70,25530,70.0
1542,Frontière(s),2007,6.2,44,24728,62.0
1543,The Hunting Party,2007,6.8,54,24412,68.0
1544,Georgia Rule,2007,5.8,25,23683,58.0
1545,D-War,2007,3.5,33,23520,35.0
1546,My Name Is Bruce,2007,6.2,36,23430,62.0
1547,The Girl Next Door,2007,6.6,29,22898,66.0
1548,Flawless,2007,6.8,57,22646,68.0
1549,Eagle vs Shark,2007,6.8,55,22616,68.0
1550,Captivity,2007,4.7,24,22411,47.0
1551,Love in the Time of Cholera,2007,6.4,43,22246,64.0
1552,Reservation Road,2007,6.7,46,22210,67.0
1553,Postal,2007,4.5,22,22123,45.0
1554,King of California,2007,6.6,63,21911,66.0
1555,He Was a Quiet Man,2007,6.8,53,21792,68.0
1556,Stomp the Yard,2007,5.4,44,21573,54.0
1557,Guru,2007,7.7,70,21537,77.0
1558,Wind Chill,2007,5.8,52,21487,58.0
1559,St. Trinian's,2007,5.8,39,21243,58.0
1560,Shelter,2007,7.6,66,20709,76.0
1561,The Last Mimzy,2007,6.2,59,20606,62.0
1562,The Signal,2007,6.0,63,20198,60.0
1563,Resurrecting the Champ,2007,6.7,55,20002,67.0
1564,Lucky You,2007,5.9,49,19928,59.0
1565,Martian Child,2007,6.8,48,19761,68.0
1566,Are We Done Yet?,2007,4.2,36,19340,42.0
1567,Bill,2007,6.2,30,19312,62.0
1568,Underdog,2007,4.7,37,19294,47.0
1569,Margot at the Wedding,2007,6.0,66,19259,60.0
1570,The Dark Knight,2008,9.0,84,2239739,90.0
1571,WALL·E,2008,8.4,95,974157,84.0
1572,Iron Man,2008,7.9,79,920262,79.0
1573,Slumdog Millionaire,2008,8.0,84,786049,80.0
1574,Gran Torino,2008,8.1,72,706797,81.0
1575,The Curious Case of Benjamin Button,2008,7.8,70,575401,78.0
1576,Taken,2008,7.8,51,557833,78.0
1577,Hancock,2008,6.4,49,437195,64.0
1578,The Incredible Hulk,2008,6.7,61,426025,67.0
1579,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,65,416961,61.0
1580,Twilight,2008,5.2,56,416687,52.0
1581,The Hurt Locker,2008,7.6,95,414027,76.0
1582,Kung Fu Panda,2008,7.5,74,409337,75.0
1583,Quantum of Solace,2008,6.6,58,397397,66.0
1584,In Bruges,2008,7.9,67,383443,79.0
1585,Tropic Thunder,2008,7.0,71,371766,70.0
1586,Cloverfield,2008,7.0,64,367457,70.0
1587,Wanted,2008,6.7,64,354963,67.0
1588,Yes Man,2008,6.8,46,329652,68.0
1589,Pineapple Express,2008,6.9,64,310823,69.0
1590,Burn After Reading,2008,7.0,63,303845,70.0
1591,The Wrestler,2008,7.9,80,286187,79.0
1592,Jumper,2008,6.1,35,282885,61.0
1593,Seven Pounds,2008,7.6,36,282234,76.0
1594,Step Brothers,2008,6.9,51,263001,69.0
1595,Forgetting Sarah Marshall,2008,7.1,67,259173,71.0
1596,Hellboy II: The Golden Army,2008,7.0,78,252522,70.0
1597,Vicky Cristina Barcelona,2008,7.1,70,238819,71.0
1598,Changeling,2008,7.7,63,233387,77.0
1599,RocknRolla,2008,7.3,53,231761,73.0
1600,The Reader,2008,7.6,58,227210,76.0
1601,21,2008,6.8,48,225608,68.0
1602,Valkyrie,2008,7.1,56,224740,71.0
1603,Role Models,2008,6.8,61,217652,68.0
1604,Rambo,2008,7.0,46,215057,70.0
1605,Mamma Mia!,2008,6.4,51,210307,64.0
1606,Body of Lies,2008,7.1,57,210098,71.0
1607,Yip Man,2008,8.0,59,207915,80.0
1608,Låt den rätte komma in,2008,7.9,82,202620,79.0
1609,Get Smart,2008,6.5,54,200652,65.0
1610,Madagascar: Escape 2 Africa,2008,6.6,61,199904,66.0
1611,Death Race,2008,6.4,43,195409,64.0
1612,The Happening,2008,5.0,34,193098,50.0
1613,Revolutionary Road,2008,7.3,69,191867,73.0
1614,The Chronicles of Narnia: Prince Caspian,2008,6.5,62,190301,65.0
1615,You Don't Mess with the Zohan,2008,5.5,54,187765,55.0
1616,Bolt,2008,6.8,67,185810,68.0
1617,The Boy in the Striped Pyjamas,2008,7.8,55,185717,78.0
1618,Eagle Eye,2008,6.6,43,173839,66.0
1619,The Bank Job,2008,7.2,69,171304,72.0
1620,Zack and Miri Make a Porno,2008,6.5,56,170744,65.0
1621,What Happens in Vegas,2008,6.1,36,163121,61.0
1622,Milk,2008,7.5,84,162432,75.0
1623,The Day the Earth Stood Still,2008,5.5,40,161537,55.0
1624,Transporter 3,2008,6.1,51,155092,61.0
1625,"Definitely, Maybe",2008,7.1,59,152729,71.0
1626,27 Dresses,2008,6.1,47,151583,61.0
1627,The Mummy: Tomb of the Dragon Emperor,2008,5.2,31,148643,52.0
1628,Marley & Me,2008,7.1,53,144129,71.0
1629,Vantage Point,2008,6.6,40,143482,66.0
1630,Defiance,2008,7.2,58,135965,72.0
1631,Harold & Kumar Escape from Guantanamo Bay,2008,6.6,57,129227,66.0
1632,Horton Hears a Who!,2008,6.8,71,127385,68.0
1633,"10,000 BC",2008,5.1,34,124310,51.0
1634,Max Payne,2008,5.4,31,120917,54.0
1635,Gake no ue no Ponyo,2008,7.7,86,120060,77.0
1636,Doubt,2008,7.5,68,119782,75.0
1637,Australia,2008,6.6,53,117943,66.0
1638,Bronson,2008,7.1,71,117505,71.0
1639,The Strangers,2008,6.2,47,115598,62.0
1640,Sex and the City,2008,5.6,53,114433,56.0
1641,Saw V,2008,5.8,20,112998,58.0
1642,Journey to the Center of the Earth,2008,5.8,57,111330,58.0
1643,Street Kings,2008,6.8,55,106027,68.0
1644,The Other Boleyn Girl,2008,6.7,50,101864,67.0
1645,Frost/Nixon,2008,7.7,80,101407,77.0
1646,Mirrors,2008,6.2,35,100885,62.0
1647,Meet the Spartans,2008,2.8,9,100584,28.0
1648,The Forbidden Kingdom,2008,6.6,57,100223,66.0
1649,Never Back Down,2008,6.6,39,94605,66.0
1650,Babylon A.D.,2008,5.6,26,92525,56.0
1651,The X Files: I Want to Believe,2008,5.9,47,87901,59.0
1652,Be Kind Rewind,2008,6.4,52,87873,64.0
1653,Nick and Norah's Infinite Playlist,2008,6.6,64,87551,66.0
1654,Bedtime Stories,2008,6.0,33,86791,60.0
1655,The Spiderwick Chronicles,2008,6.5,62,86641,65.0
1656,Disaster Movie,2008,1.9,15,86186,19.0
1657,Righteous Kill,2008,6.0,36,83732,60.0
1658,Sex Drive,2008,6.5,49,82631,65.0
1659,"Synecdoche, New York",2008,7.6,67,79625,76.0
1660,Step Up 2: The Streets,2008,6.2,50,78861,62.0
1661,The House Bunny,2008,5.5,55,78185,55.0
1662,Semi-Pro,2008,5.8,47,77439,58.0
1663,The Duchess,2008,6.9,62,77073,69.0
1664,Eden Lake,2008,6.8,65,75020,68.0
1665,Felon,2008,7.4,58,74312,74.0
1666,Fool's Gold,2008,5.7,29,72425,57.0
1667,Inkheart,2008,6.1,49,72353,61.0
1668,Doomsday,2008,6.0,51,71399,60.0
1669,Outlander,2008,6.2,40,71108,62.0
1670,Blindness,2008,6.6,45,69411,66.0
1671,Quarantine,2008,5.9,53,69280,59.0
1672,The Ruins,2008,5.8,44,69154,58.0
1673,Ghost Town,2008,6.7,72,69072,67.0
1674,Sunshine Cleaning,2008,6.8,61,68905,68.0
1675,Speed Racer,2008,6.0,37,67968,60.0
1676,How to Lose Friends & Alienate People,2008,6.4,35,67304,64.0
1677,Made of Honor,2008,5.9,37,66608,59.0
1678,Hunger,2008,7.6,82,64424,76.0
1679,Superhero Movie,2008,4.5,33,62696,45.0
1680,City of Ember,2008,6.5,58,62047,65.0
1681,Four Christmases,2008,5.7,41,61700,57.0
1682,Punisher: War Zone,2008,5.9,30,59532,59.0
1683,The Spirit,2008,4.8,30,59010,48.0
1684,The Midnight Meat Train,2008,6.0,58,58912,60.0
1685,Pride and Glory,2008,6.6,45,58544,66.0
1686,Appaloosa,2008,6.7,64,57658,67.0
1687,Drillbit Taylor,2008,5.7,41,57536,57.0
1688,Religulous,2008,7.6,56,56994,76.0
1689,High School Musical 3: Senior Year,2008,4.8,57,56728,48.0
1690,Chugyeogja,2008,7.9,64,56210,79.0
1691,Star Wars: The Clone Wars,2008,5.9,35,55662,59.0
1692,Traitor,2008,7.0,61,54945,70.0
1693,Bangkok Dangerous,2008,5.4,24,54525,54.0
1694,Vals Im Bashir,2008,8.0,91,54407,80.0
1695,Man on Wire,2008,7.7,89,51867,77.0
1696,The Eye,2008,5.4,36,50905,54.0
1697,Transsiberian,2008,6.7,72,49987,67.0
1698,The Love Guru,2008,3.8,24,49851,38.0
1699,"Food, Inc.",2008,7.8,80,49009,78.0
1700,The Brothers Bloom,2008,6.8,55,48439,68.0
1701,Lakeview Terrace,2008,6.1,47,48115,61.0
1702,Okuribito,2008,8.1,68,47632,81.0
1703,Untraceable,2008,6.2,32,46805,62.0
1704,Rachel Getting Married,2008,6.7,82,46795,67.0
1705,Gomorra,2008,7.0,87,45676,70.0
1706,W.,2008,6.3,56,45631,63.0
1707,"New York, I Love You",2008,6.2,49,44396,62.0
1708,Chi bi,2008,7.4,73,43088,74.0
1709,My Best Friend's Girl,2008,5.9,34,42119,59.0
1710,Baby Mama,2008,6.0,55,41691,60.0
1711,Meet Dave,2008,5.0,43,37863,50.0
1712,Deception,2008,6.1,31,37336,61.0
1713,Happy-Go-Lucky,2008,7.0,84,37309,70.0
1714,Two Lovers,2008,7.0,74,37127,70.0
1715,JCVD,2008,7.1,64,37115,71.0
1716,The Rocker,2008,6.2,53,36396,62.0
1717,The Hottie & the Nottie,2008,1.9,7,35951,19.0
1718,Nothing But the Truth,2008,7.2,64,35645,72.0
1719,The Tale of Despereaux,2008,6.1,53,35371,61.0
1720,Der Baader Meinhof Komplex,2008,7.4,76,35054,74.0
1721,Passengers,2008,5.9,40,33912,59.0
1722,Entre les murs,2008,7.5,92,33552,75.0
1723,Prom Night,2008,3.9,17,33355,39.0
1724,Nim's Island,2008,6.0,55,32936,60.0
1725,Joheunnom nabbeunnom isanghannom,2008,7.3,69,32826,73.0
1726,Splinter,2008,6.1,58,32674,61.0
1727,Dear Zachary: A Letter to a Son About His Father,2008,8.5,82,32300,85.0
1728,Shutter,2008,5.2,37,31947,52.0
1729,Che: Part Two,2008,6.9,64,31841,69.0
1730,L'instinct de mort,2008,7.5,71,31635,75.0
1731,Chaos Theory,2008,6.7,44,31312,67.0
1732,Choke,2008,6.4,47,31240,64.0
1733,Pathology,2008,6.0,55,30941,60.0
1734,Leatherheads,2008,6.0,56,30762,60.0
1735,One Missed Call,2008,4.0,24,30540,40.0
1736,The Wackness,2008,7.0,61,29691,70.0
1737,Jodhaa Akbar,2008,7.6,69,29194,76.0
1738,Ong Bak 2,2008,6.2,47,28984,62.0
1739,Pontypool,2008,6.6,54,28580,66.0
1740,L'ennemi public n°1,2008,7.5,72,27999,75.0
1741,The Sisterhood of the Traveling Pants 2,2008,6.2,63,26649,62.0
1742,Miss Pettigrew Lives for a Day,2008,7.1,63,26096,71.0
1743,Max Manus,2008,7.3,60,25960,73.0
1744,Frozen River,2008,7.1,82,24354,71.0
1745,The Secret Life of Bees,2008,7.3,57,23920,73.0
1746,Over Her Dead Body,2008,5.2,30,23640,52.0
1747,Repo! The Genetic Opera,2008,6.6,32,23243,66.0
1748,The Accidental Husband,2008,5.6,14,22937,56.0
1749,Nights in Rodanthe,2008,6.0,39,22777,60.0
1750,Beverly Hills Chihuahua,2008,3.8,41,22393,38.0
1751,Smart People,2008,6.1,57,22248,61.0
1752,Igor,2008,6.0,40,22091,60.0
1753,Elegy,2008,6.7,66,21691,67.0
1754,"War, Inc.",2008,5.6,37,21298,56.0
1755,Fireproof,2008,6.5,28,20930,65.0
1756,Strange Wilderness,2008,5.3,12,20763,53.0
1757,Last Chance Harvey,2008,6.6,57,20292,66.0
1758,Mad Money,2008,5.8,41,20211,58.0
1759,Redbelt,2008,6.7,69,20167,67.0
1760,The Women,2008,5.0,27,20119,50.0
1761,Easy Virtue,2008,6.7,58,19826,67.0
1762,Cadillac Records,2008,7.0,65,19751,70.0
1763,Il y a longtemps que je t'aime,2008,7.6,79,19596,76.0
1764,The Express,2008,7.3,58,19512,73.0
1765,Stop-Loss,2008,6.4,61,19501,64.0
1766,Üç Maymun,2008,7.4,73,19206,74.0
1767,Inglourious Basterds,2009,8.3,69,1229023,83.0
1768,Avatar,2009,7.8,83,1100770,78.0
1769,Up,2009,8.2,88,910844,82.0
1770,The Hangover,2009,7.7,73,705650,77.0
1771,District 9,2009,7.9,81,630080,79.0
1772,Sherlock Holmes,2009,7.6,57,573847,76.0
1773,Star Trek,2009,7.9,82,571729,79.0
1774,Zombieland,2009,7.6,73,510563,76.0
1775,Watchmen,2009,7.6,56,490814,76.0
1776,(500) Days of Summer,2009,7.7,76,464236,77.0
1777,X-Men Origins: Wolverine,2009,6.6,40,459565,66.0
1778,Harry Potter and the Half-Blood Prince,2009,7.6,78,457750,76.0
1779,Transformers: Revenge of the Fallen,2009,6.0,35,379195,60.0
1780,2012,2009,5.8,49,347157,58.0
1781,Terminator Salvation,2009,6.5,49,339057,65.0
1782,3 Idiots,2009,8.4,67,331899,84.0
1783,Moon,2009,7.9,67,329696,79.0
1784,Up in the Air,2009,7.4,83,314175,74.0
1785,The Proposal,2009,6.7,48,289299,67.0
1786,The Blind Side,2009,7.6,53,285872,76.0
1787,Public Enemies,2009,7.0,70,277653,70.0
1788,Angels & Demons,2009,6.7,48,267774,67.0
1789,Law Abiding Citizen,2009,7.4,34,266616,74.0
1790,The Twilight Saga: New Moon,2009,4.7,44,260507,47.0
1791,Fast & Furious,2009,6.6,46,257763,66.0
1792,The Road,2009,7.2,64,219639,72.0
1793,Ice Age: Dawn of the Dinosaurs,2009,6.9,50,218616,69.0
1794,Knowing,2009,6.2,41,217628,62.0
1795,Mr. Nobody,2009,7.8,63,211659,78.0
1796,Män som hatar kvinnor,2009,7.8,76,206020,78.0
1797,The Ugly Truth,2009,6.4,28,200636,64.0
1798,Cloudy with a Chance of Meatballs,2009,6.9,66,200070,69.0
1799,G.I. Joe: The Rise of Cobra,2009,5.8,32,196880,58.0
1800,Fantastic Mr. Fox,2009,7.9,83,192916,79.0
1801,"I Love You, Man",2009,7.0,70,191693,70.0
1802,Coraline,2009,7.7,80,190767,77.0
1803,El secreto de sus ojos,2009,8.2,80,187744,82.0
1804,Orphan,2009,6.9,42,187204,69.0
1805,Drag Me to Hell,2009,6.5,83,185091,65.0
1806,The Taking of Pelham 123,2009,6.4,55,183142,64.0
1807,17 Again,2009,6.3,48,176149,63.0
1808,Night at the Museum: Battle of the Smithsonian,2009,6.0,42,173055,60.0
1809,Surrogates,2009,6.3,45,167338,63.0
1810,He's Just Not That Into You,2009,6.4,47,159593,64.0
1811,The Lovely Bones,2009,6.7,42,154448,67.0
1812,Adventureland,2009,6.8,76,150828,68.0
1813,Underworld: Rise of the Lycans,2009,6.6,44,148835,66.0
1814,Invictus,2009,7.3,74,147528,73.0
1815,Monsters vs. Aliens,2009,6.4,56,144147,64.0
1816,The Imaginarium of Doctor Parnassus,2009,6.8,65,142833,68.0
1817,Pandorum,2009,6.7,28,141915,67.0
1818,Brüno,2009,5.8,54,138984,58.0
1819,The Time Traveler's Wife,2009,7.1,47,138510,71.0
1820,Crank: High Voltage,2009,6.2,41,138357,62.0
1821,State of Play,2009,7.1,64,132553,71.0
1822,9,2009,7.1,60,130932,71.0
1823,A Serious Man,2009,7.0,83,130700,70.0
1824,Gamer,2009,5.8,27,128703,58.0
1825,An Education,2009,7.3,85,126903,73.0
1826,The Men Who Stare at Goats,2009,6.2,54,125596,62.0
1827,The Invention of Lying,2009,6.4,58,122489,64.0
1828,Daybreakers,2009,6.4,57,120907,64.0
1829,The Princess and the Frog,2009,7.1,73,120484,71.0
1830,Antichrist,2009,6.6,49,114115,66.0
1831,Funny People,2009,6.3,60,113048,63.0
1832,Jennifer's Body,2009,5.2,47,112843,52.0
1833,Brothers,2009,7.1,58,109228,71.0
1834,The Boat That Rocked,2009,7.4,58,106135,74.0
1835,Julie & Julia,2009,7.0,66,105005,70.0
1836,Push,2009,6.1,36,104478,61.0
1837,A Single Man,2009,7.6,77,104348,76.0
1838,Precious,2009,7.3,78,104117,73.0
1839,Paul Blart: Mall Cop,2009,5.2,39,101033,52.0
1840,Couples Retreat,2009,5.5,23,99974,55.0
1841,Saw VI,2009,6.0,30,99631,60.0
1842,Where the Wild Things Are,2009,6.7,71,99580,67.0
1843,Bride Wars,2009,5.5,24,98817,55.0
1844,A Christmas Carol,2009,6.8,55,98565,68.0
1845,The Final Destination,2009,5.2,30,95046,52.0
1846,Friday the 13th,2009,5.5,34,94999,55.0
1847,Splice,2009,5.7,66,92217,57.0
1848,Un prophète,2009,7.9,90,92051,79.0
1849,Year One,2009,4.9,34,90663,49.0
1850,I Love You Phillip Morris,2009,6.6,65,90529,66.0
1851,The International,2009,6.5,52,90101,65.0
1852,Flickan som lekte med elden,2009,7.2,66,89493,72.0
1853,My Sister's Keeper,2009,7.4,51,88185,74.0
1854,The Box,2009,5.6,47,87978,56.0
1855,It's Complicated,2009,6.5,57,84637,65.0
1856,The Last House on the Left,2009,6.5,42,84064,65.0
1857,Harry Brown,2009,7.2,55,83335,72.0
1858,Crazy Heart,2009,7.2,83,82880,72.0
1859,Ghosts of Girlfriends Past,2009,5.8,34,82479,58.0
1860,Kynodontas,2009,7.3,73,79397,73.0
1861,Case 39,2009,6.2,25,76481,62.0
1862,The Uninvited,2009,6.4,43,75011,64.0
1863,Confessions of a Shopaholic,2009,5.9,38,73547,59.0
1864,The Bad Lieutenant: Port of Call - New Orleans,2009,6.6,69,73340,66.0
1865,The Fourth Kind,2009,5.9,34,72798,59.0
1866,Youth in Revolt,2009,6.4,63,71886,64.0
1867,The Human Centipede (First Sequence),2009,4.4,33,71755,44.0
1868,Whatever Works,2009,7.1,45,70021,71.0
1869,Dragonball Evolution,2009,2.5,45,69244,25.0
1870,Enter the Void,2009,7.3,69,68638,73.0
1871,Solomon Kane,2009,6.1,48,68320,61.0
1872,Chloe,2009,6.3,48,68281,63.0
1873,[Rec]²,2009,6.5,52,67598,65.0
1874,Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8,82,67327,78.0
1875,Ninja Assassin,2009,6.3,34,67243,63.0
1876,Luftslottet som sprängdes,2009,7.3,60,66806,73.0
1877,A Perfect Getaway,2009,6.5,63,66598,65.0
1878,Agora,2009,7.2,55,65003,72.0
1879,Land of the Lost,2009,5.3,32,64748,53.0
1880,Død snø,2009,6.3,61,63275,63.0
1881,Whip It,2009,6.9,68,63172,69.0
1882,The Informant!,2009,6.4,66,62314,64.0
1883,The Boondock Saints II: All Saints Day,2009,6.3,24,60820,63.0
1884,Observe and Report,2009,5.8,54,60289,58.0
1885,Brooklyn's Finest,2009,6.7,43,60222,67.0
1886,The Haunting in Connecticut,2009,5.9,33,58458,59.0
1887,Everybody's Fine,2009,7.1,47,58106,71.0
1888,Fish Tank,2009,7.3,81,57576,73.0
1889,The Collector,2009,6.4,29,56786,64.0
1890,The Young Victoria,2009,7.3,64,56730,73.0
1891,Fanboys,2009,6.6,45,55639,66.0
1892,Valhalla Rising,2009,6.1,61,54821,61.0
1893,Race to Witch Mountain,2009,5.7,52,54732,57.0
1894,In the Loop,2009,7.4,83,53705,74.0
1895,My Bloody Valentine,2009,5.4,51,52930,54.0
1896,Away We Go,2009,7.0,58,51284,70.0
1897,The Soloist,2009,6.7,61,50856,67.0
1898,Planet 51,2009,6.0,39,49896,60.0
1899,The Unborn,2009,4.8,30,48962,48.0
1900,Madeo,2009,7.8,79,48870,78.0
1901,Halloween II,2009,4.9,35,47432,49.0
1902,Duplicity,2009,6.1,69,46887,61.0
1903,The Cove,2009,8.4,84,46808,84.0
1904,Black Dynamite,2009,7.4,65,45062,74.0
1905,Extract,2009,6.1,61,44193,61.0
1906,Darbareye Elly,2009,8.0,87,43514,80.0
1907,Cirque du Freak: The Vampire's Assistant,2009,5.8,43,42704,58.0
1908,Alvin and the Chipmunks: The Squeakquel,2009,4.5,41,42581,45.0
1909,Banlieue 13: Ultimatum,2009,6.5,64,42531,65.0
1910,Nine,2009,5.8,49,42040,58.0
1911,G-Force,2009,5.1,41,41877,51.0
1912,The Pink Panther 2,2009,5.6,36,41701,56.0
1913,Fired Up!,2009,6.1,31,41672,61.0
1914,Bakjwi,2009,7.1,73,41550,71.0
1915,Capitalism: A Love Story,2009,7.4,61,40788,74.0
1916,The Damned United,2009,7.5,81,40708,75.0
1917,Notorious,2009,6.7,60,40298,67.0
1918,The House of the Devil,2009,6.4,73,39775,64.0
1919,All About Steve,2009,4.8,17,39243,48.0
1920,Hannah Montana: The Movie,2009,4.5,47,38975,45.0
1921,Coco avant Chanel,2009,6.7,65,38252,67.0
1922,This Is It,2009,7.2,67,38083,72.0
1923,The Joneses,2009,6.5,55,38046,65.0
1924,Spread,2009,5.8,43,37913,58.0
1925,Los abrazos rotos,2009,7.2,76,37744,72.0
1926,Did You Hear About the Morgans?,2009,4.8,27,37174,48.0
1927,World's Greatest Dad,2009,6.9,69,36798,69.0
1928,Middle Men,2009,6.8,60,36278,68.0
1929,Old Dogs,2009,5.4,19,35903,54.0
1930,After.Life,2009,5.9,36,35837,59.0
1931,Soul Kitchen,2009,7.3,76,35724,73.0
1932,Defendor,2009,6.8,57,35235,68.0
1933,Nowhere Boy,2009,7.1,67,34574,71.0
1934,The Messenger,2009,7.1,77,33552,71.0
1935,Adam,2009,7.2,56,33281,72.0
1936,"I Love You, Beth Cooper",2009,5.3,32,33035,53.0
1937,Astro Boy,2009,6.3,53,32530,63.0
1938,Fighting,2009,5.6,61,31703,56.0
1939,The Stepfather,2009,5.6,33,30788,56.0
1940,Sin nombre,2009,7.6,77,30778,76.0
1941,Love Happens,2009,5.7,33,30513,57.0
1942,The Secret of Kells,2009,7.6,81,30400,76.0
1943,City Island,2009,7.4,66,30315,74.0
1944,Armored,2009,5.7,50,29446,57.0
1945,Obsessed,2009,5.0,25,28986,50.0
1946,Micmacs à tire-larigot,2009,7.2,62,28456,72.0
1947,Sorority Row,2009,5.1,24,28214,51.0
1948,Taking Woodstock,2009,6.7,55,28038,67.0
1949,J'ai tué ma mère,2009,7.5,77,27066,75.0
1950,12 Rounds,2009,5.6,38,26945,56.0
1951,Leaves of Grass,2009,6.4,58,26291,64.0
1952,Samâ uôzu,2009,7.5,63,25469,75.0
1953,Bright Star,2009,6.9,81,24984,69.0
1954,The Disappearance of Alice Creed,2009,6.7,65,24756,67.0
1955,Universal Soldier: Regeneration,2009,5.2,70,24408,52.0
1956,Street Fighter: The Legend of Chun-Li,2009,3.7,17,22765,37.0
1957,Crossing Over,2009,6.7,38,22471,67.0
1958,The Hole,2009,5.7,57,22169,57.0
1959,Inception,2010,8.8,74,2000392,88.0
1960,Shutter Island,2010,8.2,63,1095095,82.0
1961,Toy Story 3,2010,8.3,92,739311,83.0
1962,Iron Man 2,2010,7.0,57,705890,70.0
1963,Black Swan,2010,8.0,79,685861,80.0
1964,How to Train Your Dragon,2010,8.1,75,651145,81.0
1965,The King's Speech,2010,8.0,88,628036,80.0
1966,The Social Network,2010,7.7,95,608348,77.0
1967,Kick-Ass,2010,7.6,66,517553,76.0
1968,Despicable Me,2010,7.6,72,491037,76.0
1969,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,462778,77.0
1970,Tangled,2010,7.7,71,395886,77.0
1971,Alice in Wonderland,2010,6.4,53,376551,64.0
1972,Scott Pilgrim vs. the World,2010,7.5,69,368559,75.0
1973,Easy A,2010,7.0,72,350214,70.0
1974,The Town,2010,7.5,74,344743,75.0
1975,127 Hours,2010,7.5,82,342174,75.0
1976,The Fighter,2010,7.8,79,333974,78.0
1977,The Expendables,2010,6.5,45,321020,65.0
1978,Due Date,2010,6.5,51,318592,65.0
1979,Tron,2010,6.8,49,309027,68.0
1980,True Grit,2010,7.6,80,304826,76.0
1981,Salt,2010,6.4,65,291250,64.0
1982,The Book of Eli,2010,6.9,53,288172,69.0
1983,RED,2010,7.0,60,284187,70.0
1984,Insidious,2010,6.8,52,271607,68.0
1985,Prince of Persia: The Sands of Time,2010,6.6,50,267827,66.0
1986,Clash of the Titans,2010,5.8,39,267099,58.0
1987,Robin Hood,2010,6.6,53,249624,66.0
1988,The A-Team,2010,6.7,47,243078,67.0
1989,The Other Guys,2010,6.6,64,237923,66.0
1990,Grown Ups,2010,5.9,30,224187,59.0
1991,The Twilight Saga: Eclipse,2010,5.0,58,222996,50.0
1992,Megamind,2010,7.2,63,222836,72.0
1993,The Tourist,2010,6.0,37,219931,60.0
1994,Predators,2010,6.4,51,208665,64.0
1995,Machete,2010,6.6,60,188350,66.0
1996,Unstoppable,2010,6.8,69,181797,68.0
1997,Blue Valentine,2010,7.4,81,180677,74.0
1998,Shrek Forever After,2010,6.3,58,180200,63.0
1999,The Next Three Days,2010,7.4,52,178701,74.0
2000,Knight and Day,2010,6.3,46,177279,63.0
